================================================================================
BED FRAME SHIPPING - PACKING RESULTS
================================================================================

Container Dimensions: 1200 × 235 × 239 cm
Container Volume: 67.40 m³
Number of Containers Used: 1

================================================================================
SUMMARY
================================================================================
Total Items Packed: 140
Total Volume Used: 19.80 / 67.40 m³ (29.4%)
Total Weight: 3000.0 kg
Average Items per Container: 140.0

================================================================================
DETAILED CONTAINER INFORMATION
================================================================================

CONTAINER 1
--------------------------------------------------------------------------------
Items: 140
Volume Used: 19.80 / 67.40 m³ (29.4%)
Weight Used: 3000.0 kg

ITEM POSITIONS:
--------------------------------------------------------------------------------
No.   Item Name            Dimensions (cm)      Position (x,y,z)     Weight    
98    SINGLE_008           120×20×30            (920,110,30)         15.0      
99    SINGLE_009           120×20×30            (1040,110,30)        15.0      
100   SINGLE_010           30×20×120            (320,130,30)         15.0      
101   SINGLE_011           30×20×120            (350,130,30)         15.0      
102   SINGLE_012           20×30×120            (380,130,30)         15.0      
103   SINGLE_013           120×30×20            (0,140,30)           15.0      
104   SINGLE_014           120×30×20            (120,140,30)         15.0      
105   SINGLE_015           30×20×120            (240,140,30)         15.0      
106   SINGLE_016           30×20×120            (270,140,30)         15.0      
107   SINGLE_017           20×30×120            (300,140,30)         15.0      
108   SINGLE_018           30×20×120            (320,150,30)         15.0      
109   SINGLE_019           30×20×120            (350,150,30)         15.0      
110   SINGLE_020           30×20×120            (240,160,30)         15.0      
111   SINGLE_021           30×20×120            (270,160,30)         15.0      
112   SINGLE_022           120×30×20            (320,0,40)           15.0      
113   SINGLE_023           120×30×20            (440,0,40)           15.0      
114   SINGLE_024           120×30×20            (560,0,40)           15.0      
115   SINGLE_025           120×30×20            (680,0,40)           15.0      
116   SINGLE_026           120×30×20            (800,0,40)           15.0      
117   SINGLE_027           120×30×20            (920,0,40)           15.0      
118   SINGLE_028           30×20×120            (1040,0,40)          15.0      
119   SINGLE_029           30×20×120            (1040,20,40)         15.0      
120   SINGLE_030           120×30×20            (320,30,40)          15.0      
121   SINGLE_031           120×30×20            (440,30,40)          15.0      
122   SINGLE_032           120×30×20            (560,30,40)          15.0      
123   SINGLE_033           120×30×20            (680,30,40)          15.0      
124   SINGLE_034           120×30×20            (800,30,40)          15.0      
125   SINGLE_035           120×30×20            (920,30,40)          15.0      
126   SINGLE_036           120×30×20            (0,40,40)            15.0      
127   SINGLE_037           120×30×20            (120,40,40)          15.0      
128   SINGLE_038           30×20×120            (240,40,40)          15.0      
129   SINGLE_039           30×20×120            (270,40,40)          15.0      
130   SINGLE_040           30×20×120            (1040,40,40)         15.0      
131   SINGLE_041           30×20×120            (240,60,40)          15.0      
132   SINGLE_042           30×20×120            (270,60,40)          15.0      
133   SINGLE_043           120×30×20            (320,60,40)          15.0      
134   SINGLE_044           120×30×20            (440,60,40)          15.0      
135   SINGLE_045           120×30×20            (560,60,40)          15.0      
136   SINGLE_046           120×30×20            (680,60,40)          15.0      
137   SINGLE_047           120×30×20            (800,60,40)          15.0      
138   SINGLE_048           120×30×20            (920,60,40)          15.0      
139   SINGLE_049           30×20×120            (1040,60,40)         15.0      
140   SINGLE_050           120×30×20            (0,70,40)            15.0      

================================================================================

